Country,Code,Population,Rural,GNI,IncomeTop10,Imports,Exports,Military,Cell,Fertility66,Fertility16,Measles,InfMort,LifeExp,PM2.5,Diesel,CO2,EnergyUse,FossilPct,Forest94,Forest14,Deforestation,GunTotal,GunHomicide,GunSuicide,GunUnint,GunUndet,GunsPer100
Cameroon,CMR,23439189,45.062,1400,,23.41324784,18.58348076,1.202444386,79.85559142,6.004,4.708,78,52.8,58.073,139.7057901,0.94,0.314928068,341.8626717,29.85668933,63,63,0,,,,,,
Canada,CAN,36264604,17.994,43880,,33.38422977,30.96787727,1.181229083,84.74001333,2.749,1.6,90,4.3,82.3005122,7.525224482,0.73,15.11715878,7876.094108,73.39591223,79772,86136,-7.977736549,1.97,0.38,1.52,0.05,0.02,30.8
Cayman Islands,CYM,60765,0,,,,,,157.4195672,,,,,,,,9.171838032,,,6670,6829.6,-2.392803598,,,,,,
Central African Republic,CAF,4594621,59.668,380,,30.02529211,12.72904297,1.528904224,27.16972738,5.945,4.869,49,88.5,52.171,66.32023289,1.4,0.066593111,,,15533.4,13713.2,11.71797546,,,,,,
Chad,TCD,14452543,77.382,720,,39.6708289,28.19169373,3.289847634,43.11357925,6.362,5.947,58,75.2,52.903,95.6736091,0.85,0.053777688,,,54810,43610,20.43422733,,,,,,
Channel Islands,CHI,164541,68.423,,,,,,,2.475,1.478,,,81.107,,,,,,10,10,0,,,,,,
Chile,CHL,17909754,10.303,13430,,27.32914681,28.18355638,1.918483301,130.1112399,4.632,1.774,93,7.2,79.522,21.9671149,0.65,4.687376624,2049.688829,73.41700458,25464.3,27450.1,-7.798368697,1.95,1.02,0.81,0.08,0.04,10.7
China,CHN,1378665000,43.222,8250,,17.37543911,19.65837757,1.932012823,97.25213003,6.375,1.624,99,8.5,76.252,56.33014796,0.81,7.543907641,2236.729908,87.48076266,617134,550530,10.79246971,,,,,,
Colombia,COL,48653419,23.292,6350,40,21.70809603,14.75780658,3.101108796,120.6182941,6.425,1.853,93,13.1,74.381,17.11938773,0.64,1.759537174,711.5831798,76.68569263,22000,21850,0.681818182,25.94,23.93,0.87,0.11,1.03,5.9
Comoros,COM,795601,71.588,770,,43.74482203,15.94211172,,57.11267331,7.027,4.347,99,55,63.701,19.14635158,,0.202814119,,,132448,109422,17.38493597,,,,,,
"Congo, Dem. Rep.",COD,78736153,56.985,460,,32.37186217,27.21898417,1.066108209,36.6912986,6.111,6.112,77,72,59.621,56.27516385,1.2,0.063369191,389.5673879,5.35930648,36.9,36.2,1.89701897,,,,,,
"Congo, Rep.",COG,5125821,34.202,1700,,79.4347017,57.08427917,7.17024714,105.8171949,6.136,4.661,80,38.5,64.625,55.83271511,,0.635369293,539.5316172,40.48060338,4066,3800,6.542056075,,,,,,
Costa Rica,CRI,4857274,22.325,10830,37.3,31.96418647,32.79090175,0,171.5090398,5.63,1.783,93,7.7,79.831,18.53054595,0.79,1.630951062,1031.141495,49.4765614,33462,38058,-13.73498297,7.5,5.92,1.27,0.07,0.24,9.9
Cote d'Ivoire,CIV,23695919,45.131,1520,,20.16081149,29.35899815,1.657449417,115.8480074,7.868,4.911,77,66,53.582,57.77137282,0.93,0.490206046,615.803314,26.49233002,66074,54098,18.12513243,,,,,,
Croatia,HRV,4174349,40.716,12290,,46.19443759,49.01296772,1.367770673,104.7725932,2.062,1.4,90,4,78.02195122,19.81560787,1.17,3.973804906,1897.840665,70.70366234,2526,2714,-7.442596991,2.68,0.4,2.37,0.05,0.02,21.7
Cuba,CUB,11475982,22.816,,,,,,34.74996737,4.54,1.722,99,4.2,79.742,16.6241175,,3.045210624,1022.668906,85.75886304,674.9,889.4,-31.78248629,,,,,,
Curacao,CUW,159663,10.759,,,,,,117.1129001,,1.7,,,77.87317073,,,37.72628905,12650.86044,99.86042265,123848,95844,22.6115884,,,,,,
Cyprus,CYP,1170125,33.16,24430,,65.48676938,64.71011192,1.572893282,133.4172747,3.01,1.343,90,2.1,80.508,17.86639632,1.23,5.260352041,1712.124092,92.90621503,234360,190360,18.7745349,1.87,1.05,0.58,0.12,0.12,36.4
Czech Republic,CZE,10566332,27.02,17630,,72.05765895,79.54110835,1.001060077,117.6619297,2.02,1.57,98,2.5,78.33170732,19.17869055,1.11,9.165978376,3915.113582,74.69428274,3480846,3471156,0.278380601,2.01,0.15,1.66,0.09,0.13,16.3
Denmark,DNK,5728010,12.153,56990,,47.39002944,53.58409303,1.170883104,122.2898105,2.62,1.71,94,3.7,80.70487805,10.32874421,1.35,5.935712482,2872.573547,68.53494819,127,127,0,1.28,0.22,1.09,0.04,0.02,12
Djibouti,DJI,942333,22.57,1840,,50.93541589,33.71373579,,36.63736705,6.665,2.847,75,53.5,62.465,71.70929766,0.98,0.791961752,,,224976,221856,1.386814594,,,,,,
Dominica,DMA,73543,30.18,7110,,53.98399841,48.34686395,,106.6641285,,,96,31.2,,16.87333694,,1.864285911,,,65534,50016,23.6793115,,,,,,
Dominican Republic,DOM,10648791,20.159,6390,35,28.91718649,24.92017833,0.663297901,81.77577154,6.903,2.422,85,25.5,73.861,23.69819597,0.91,2.069986634,734.4078962,86.54458297,8,8,0,,,,,,
